,asset,chrtagnt,clcode,effdate,fdicregn,name,trust,total_violations,unique_violations,year,decade,violation,no_violation
14513,211974.0,OTS,33,03/24/2001,Kansas City,"Brenton Savings Bank, FSB",0.0,1.0,1.0,2001,2000,1.0,0.0
14516,289377.0,OCC,33,01/10/2014,New York,GCF Bank,0.0,1.0,1.0,2014,2010,1.0,0.0
14527,96584.0,OTS,34,07/16/2010,Chicago,"Mainstreet Savings Bank, FSB",0.0,3.0,3.0,2010,2010,1.0,0.0
14536,65686.0,OCC,33,10/19/2012,Atlanta,First East Side Savings Bank,0.0,1.0,1.0,2012,2010,1.0,0.0
14550,127680.0,STATE,35,08/31/2022,Chicago,The Cincinnatus Savings & Loan Co.,0.0,2.0,2.0,2022,2020,1.0,0.0
14561,270706.0,STATE,15,08/31/2022,New York,Eastern Connecticut Savings Bank,0.0,3.0,3.0,2022,2020,1.0,0.0
14599,538920.0,OTS,33,12/04/1998,New York,The Federal Savings Bank,0.0,1.0,1.0,1998,1990,1.0,0.0
14633,760759.0,OCC,33,10/12/2013,Chicago,Park View Federal Savings Bank,0.0,1.0,1.0,2013,2010,1.0,0.0
14643,14256898.0,OTS,33,03/31/2000,Chicago,"LaSalle Bank, F.S.B.",0.0,3.0,3.0,2000,2000,1.0,0.0
14654,1316129.0,OTS,33,07/31/1998,Kansas City,AmerUs Bank,0.0,2.0,2.0,1998,1990,1.0,0.0
14656,4625372.0,OTS,33,05/31/1997,Kansas City,"First Bank, Federal Savings Bank",1.0,4.0,4.0,1997,1990,1.0,0.0
14664,1756179.0,OCC,3,08/31/2022,Chicago,"Cf Bank, National Association",0.0,1.0,1.0,2022,2020,1.0,0.0
14676,23838.0,OCC,38,09/17/2016,Kansas City,Home Savings Bank,0.0,1.0,1.0,2016,2010,1.0,0.0
14687,200087.0,OTS,34,12/31/2008,Chicago,"Continental Savings Bank, FSB",0.0,3.0,3.0,2008,2000,1.0,0.0
14700,96473.0,OCC,33,09/30/2015,Chicago,PNA Bank,0.0,2.0,2.0,2015,2010,1.0,0.0
14715,451888.0,OTS,33,08/28/2009,New York,Bradford Bank,0.0,2.0,2.0,2009,2000,1.0,0.0
14718,141580.0,STATE,36,08/31/2022,Dallas,"RG Bank, A Savings and Loan Association",0.0,1.0,1.0,2022,2020,1.0,0.0
14719,1041703.0,STATE,42,08/31/2022,Dallas,FIDELITY BANK,0.0,1.0,1.0,2022,2020,1.0,0.0
14735,49421342.0,OCC,3,06/09/2021,Kansas City,TCF National Bank,1.0,5.0,5.0,2021,2020,1.0,0.0
14750,3715433.0,OTS,33,11/21/2008,San Francisco,PFF Bank & Trust,1.0,1.0,1.0,2008,2000,1.0,0.0
14752,292113.0,OCC,33,08/31/2022,Chicago,Cincinnati Federal,0.0,1.0,1.0,2022,2020,1.0,0.0
14760,127845.0,OTS,34,12/20/2010,Chicago,Century Bank,0.0,5.0,5.0,2010,2010,1.0,0.0
14763,150454.0,OCC,37,12/01/2012,Dallas,Osage Federal Bank,0.0,2.0,2.0,2012,2010,1.0,0.0
14765,1045787.0,OTS,37,09/13/1994,New York,Crestmont Federal Savings and Loan Association,0.0,4.0,4.0,1994,1990,1.0,0.0
14766,12555762.0,OCC,3,08/31/2022,New York,"OceanFirst Bank, National Association",1.0,3.0,3.0,2022,2020,1.0,0.0
14770,1256144.0,STATE,21,08/31/2022,Dallas,Century Bank,1.0,2.0,2.0,2022,2020,1.0,0.0
14776,584526.0,OCC,38,08/31/2022,New York,"Middlesex Federal Savings, F.A.",0.0,4.0,4.0,2022,2020,1.0,0.0
