,asset,chrtagnt,clcode,effdate,fdicregn,name,trust,total_violations,unique_violations,year,decade,violation,no_violation
51,15164.0,STATE,21,01/17/1997,Atlanta,Bank of Stapleton,0.0,0.0,0.0,1997,1990,0.0,1.0
52,,STATE,21,03/03/1977,Atlanta,Bank of Union Point,,0.0,0.0,1977,1970,0.0,1.0
53,,STATE,13,01/01/1975,Chicago,New Haven Savings Bank,,0.0,0.0,1975,1970,0.0,1.0
54,,STATE,21,10/09/1976,Atlanta,The Hamilton Bank and Trust Company,,0.0,0.0,1976,1970,0.0,1.0
55,417469.0,STATE,21,04/23/1999,Atlanta,Etowah Bank,0.0,0.0,0.0,1999,1990,0.0,1.0
56,135348.0,STATE,21,08/31/2022,Atlanta,Planters and Citizens Bank,0.0,0.0,0.0,2022,2020,0.0,1.0
57,578096.0,STATE,21,06/01/2010,Atlanta,First State Bank and Trust Company of Valdosta,1.0,0.0,0.0,2010,2010,0.0,1.0
58,52154.0,STATE,21,07/19/2022,Atlanta,Apex Banking Company of Georgia,0.0,0.0,0.0,2022,2020,0.0,1.0
59,43892.0,STATE,21,08/31/2022,Chicago,Peoples State Bank of Colfax,0.0,0.0,0.0,2022,2020,0.0,1.0
60,41003.0,STATE,21,08/31/2022,Chicago,Farmers State Bank of Emden,1.0,0.0,0.0,2022,2020,0.0,1.0
61,116848.0,STATE,13,08/31/2022,Chicago,Bank Michigan,0.0,0.0,0.0,2022,2020,0.0,1.0
62,108220.0,STATE,21,02/27/2021,Chicago,Reynolds State Bank,0.0,0.0,0.0,2021,2020,0.0,1.0
63,75289.0,STATE,21,06/19/2002,Chicago,First Trust Bank of Shelbyville,1.0,0.0,0.0,2002,2000,0.0,1.0
64,210403.0,STATE,21,07/31/2005,Chicago,Farmers State Bank of Somonauk,0.0,0.0,0.0,2005,2000,0.0,1.0
65,16621.0,STATE,21,05/06/2000,Chicago,Saline County State Bank,0.0,0.0,0.0,2000,2000,0.0,1.0
66,11984.0,STATE,21,08/09/1985,Chicago,State Bank of Farmersville,1.0,0.0,0.0,1985,1980,0.0,1.0
67,186677.0,OCC,3,04/08/2011,Chicago,Western Springs National Bank and Trust,1.0,0.0,0.0,2011,2010,0.0,1.0
68,77075.0,STATE,21,12/01/1986,Chicago,The Commercial Bank,1.0,0.0,0.0,1986,1980,0.0,1.0
69,713392.0,STATE,21,04/01/1988,Chicago,First of America Bank-Wayne Oakland,1.0,0.0,0.0,1988,1980,0.0,1.0
70,644454.0,STATE,21,09/10/1993,Chicago,INB Banking Company,1.0,0.0,0.0,1993,1990,0.0,1.0
71,102779.0,STATE,13,09/16/2000,Chicago,The Ripley County Bank,1.0,0.0,0.0,2000,2000,0.0,1.0
72,352662.0,STATE,21,10/05/2002,Chicago,Union Bank and Trust Company of Indiana,1.0,0.0,0.0,2002,2000,0.0,1.0
73,29049.0,STATE,21,04/10/1987,Chicago,The Citizens State Bank,1.0,0.0,0.0,1987,1980,0.0,1.0
74,314488.0,STATE,21,07/01/1990,Chicago,"Society Bank, Goshen",1.0,0.0,0.0,1990,1990,0.0,1.0
75,219795.0,STATE,21,11/04/1999,Chicago,United Southwest Bank,1.0,0.0,0.0,1999,1990,0.0,1.0
76,68173.0,STATE,21,11/09/2019,Dallas,Bank of Prescott,1.0,0.0,0.0,2019,2010,0.0,1.0
77,2839747.0,STATE,13,09/18/2009,Chicago,Irwin Union Bank and Trust Company,1.0,0.0,0.0,2009,2000,0.0,1.0
78,414091.0,STATE,21,08/31/2022,Chicago,The Napoleon State Bank,1.0,0.0,0.0,2022,2020,0.0,1.0
79,99001.0,STATE,21,07/24/1992,Chicago,First of America Bank-Wabash Valley,1.0,0.0,0.0,1992,1990,0.0,1.0
80,117180.0,STATE,21,11/13/1998,Chicago,Alliance Bank,1.0,0.0,0.0,1998,1990,0.0,1.0
81,,STATE,21,01/02/1970,Chicago,The Twelve Mile State Bank,,0.0,0.0,1970,1970,0.0,1.0
